title,description,tokens
Viewing the Split Products,"After the procedure is complete, you will have different products based on each color variant. Each product will contain the name of the color value, and you can showcase all your colors on the listing pages. When a customer selects a color, the color will be automatically selected and reflected in the checkout page as a variant option.",58
Important Details,Product feeds and applications that generate product content like CSB or XML files will be affected by this feature. All product feeds will have to be regenerated. This feature is a great way to showcase all your products in a different way.,42
Functionality,"The Suppliers application allows merchants to have multiple suppliers for different products, each with their own prices and availability. The application allows for easy comparison of delivery prices and identification of the best supplier for a particular product.",38
Setting up Suppliers,"To add suppliers manually, go to the product section and click on the ""Suppliers"" link. Here, you can add as many suppliers as you wish and assign them to specific products. Alternatively, you can use the XML import application to automatically import products and assign them to suppliers.",48
Adding Suppliers to Products,"When adding suppliers manually, go to the product detail page and select the supplier from the dropdown menu. You can also assign a delivery price and an identification number for both your store and the supplier's store.",37
Tracking Inventory,"CloudCart can track product inventory at the supplier's store, and merchants can disable a specific supplier for a product if they are out of stock.",25
Order Products,Merchants can use the Order Products feature to filter by supplier and make bulk orders for all products under a specific supplier.,22
Benefits,"The Suppliers application allows for easy comparison of delivery prices, determination of the best supplier for a product, and automation of product catalog and pricing for different merchants.",28
Product Inventory Section,"The product inventory section allows you to manage your product inventory. You can use the filter option to search for a product by SKU, barcode, or product description. You can also filter products by category and quantity. Additionally, you can save filters and use them as tabs for quick searches and filter options.",53
Importance of Managing Inventory,"It is essential to manage your inventory to have a clear visibility of what's inside the warehouse, what's in stock in the online store, and what is out of stock in the product catalog. CloudCart focuses on delivering functionality that is really important when you are not working with warehouse software.",51
Product Listing Page,"The product listing page represents your product inventory. The difference between the inventory and the product section is that we split the product variants into products because each line here represents a product and its variations. For example, a product can have several variations between size and color, which we represent in a list of each product variation and each combination of that variation.",64
Managing Quantities,"To manage quantities, you can add or set a quantity for each product variation. Adding a quantity increases the number of products in stock, while setting a quantity replaces the existing quantity with the new number. You can also decrease or increase the quantity by a specific number.",48
Filters and Criteria,"You can use filters and criteria to manage your inventory. For example, you can select specific SKUs or filter products that are out of stock. This is helpful when you want to enable continuous selling for products that are out of stock because you know they will be restocked soon.",50
Using Categories,"Categories help you manage your inventory by organizing products by vendors, manufacturers, subcategories, etc. You can easily manage categories by adding new ones and subcategories, which makes it easier to find specific products.",33
Adding a Category,"To add a category, go to the side panel and provide data such as the name and description of the category. The URL address is generated automatically but can be edited. The system will check for duplicate names. A handy feature is the automatic 301 redirects if you change the URL slug when editing a record.",56
Category Description,You can add a description to your category using the text editor. You can also make the category a child of a parent category or add an image to the category.,31
Google Taxonomy,"Google taxonomy is a required field to define categories in product feeds. It will be used as the name of the category, no matter what name you choose for it. You can choose the taxonomy definition from a search bar.",40
Subcategories,You can add subcategories to a category in two ways: by adding a category and choosing the parent category or by dragging and dropping an existing category to the parent category. You can also merge two categories to make them parent and child.,43
Displaying Subcategories,"You can display subcategories in your storefront by enabling the function on your new category listing. If a category has no products, it will not appear on the storefront.",29
Category Properties,"You can access category properties from the category view. If you see warnings, it means the categories were not defined by the taxonomy, and you should define them to generate product feeds.",32
Improving SEO,Adding text and images to your categories is a great way to improve your SEO and get ahead of your competitors. Relevant keywords in the category description also help in search results.,32
Understanding Brands and Vendors,"Vendors and brands are filters that are useful for navigation through the products. Brands refer to the company or manufacturer of the product. In CloudCart, it is easy to upload the brand logo, brand description, and meta title and description.",40
Vendor Page,"Each brand has its own page, where all the products that are into that brand are listed. Once a brand has been created, you can click on the brand and you will be redirected to the page of the vendor.",40
Benefits of Having a Vendor Page,"Vendor pages are useful in increasing the visibility of the website into the search results of Google. For example, if someone searches for a particular brand, your website will be ranked higher in the search results due to the presence of the vendor page.",44
Brand Page,"The brand page is the place where you can read the text about the brand, some sort of information about the brand, and the logo.",25
Mandatory Brand for Products,"It is not mandatory to choose a brand for a product, and products can be displayed without anything under them.",20
Defining Smart Collections,"Smart collections are a way to combine different products based on specific criteria into a single page, without the need to manually select each individual product. This feature can save time and effort, especially when dealing with a large number of products.",42
Creating a Smart Collection,"To create a smart collection, start by giving it a title that represents the criteria you want to apply. You can also add SEO descriptions and titles from the same page. Next, select the criteria you want to use, such as specific products, categories, discounts, brands, or taxes. You can also use operators such as ""not in"" to exclude products from certain categories.",63
Tagging Products,"You can also use tagging to create a smart collection. For example, you can tag products that are meant to be included in a specific collection with a unique tag, and then create a smart collection that includes all products with that tag. This is particularly useful when dealing with large numbers of products.",54
Using Smart Collections,"Smart collections can be used in various ways, such as creating discounts, showcasing products, generating feeds for selected parties, and more. They can also be used to build landing pages that feature a specific collection of products. When used smartly, smart collections can save time and effort and provide a seamless shopping experience for your customers.",56
Conclusion,"Smart collections are a powerful feature unique to CloudCart that allows you to combine different products based on specific criteria into a single page. By understanding the functionality of smart collections, you can use them to save time and effort and provide a better shopping experience for your customers.",49
Getting Started with Product Bundles,"To use product bundles, you need to install the Product Bundles application from the All Applications menu in your store's Ups menu. Once installed, you can find it in the Products menu under Bundles. Initially, you won't have any bundles, but you can start creating them from here.",48
Bundle Setup,"Setting up a bundle is a manual process, and you need to tell the system how to combine the products and how to present them. From the Advanced Settings menu, you can set the bundle's title, upload an image, and write a description. You can also choose which products to include in the bundle and set the bundle's price.",59
Bundle Configuration,"Once you've selected your products and set the bundle price, you can configure how the bundle appears on your storefront. You can change the page title and description for the bundle, set validation dates, and even show a timer to encourage customers to buy before the bundle expires. You can also choose how the bundle appears on your storefront, such as a list of products or a product listing in the landing page.",73
Advanced Settings,"In the Advanced Settings menu, you can make further customizations to the bundle. For example, you can change the quantity of a product in the bundle or change the order of the products. You can also check CloudCart's Health Center for more information on bundle functionalities.",46
Conclusion,"Product bundles are a great way to increase your store's average order value, and CloudCart offers a variety of options for setting them up and customizing their appearance. If you have any questions or want to practice your knowledge, you can always reach out to CloudCart's support team.",48
Introduction,"how to add properties to your products in order to make them more searchable, filterable, and organized. Properties are features that can describe a product in a convenient way, allowing users to filter and search based on specific criteria.",39
Category Properties,"Category properties are features assigned to specific categories and can be reused for different products. CloudCart offers three methods to import category properties into your store: manual entry, XML import, and CloudCart APIs. Manual entry is the slowest method, while XML import and CloudCart APIs are much faster.",48
Adding Category Properties,"To add category properties manually, go to the products main page and select category properties. You can add a new property here, give it a name, type, and assign it to specific categories. You can also assign values for that property. Once you're ready, save the property and it will be recorded in the system. You can add as many category properties as you wish.",65
Merging Values,"CloudCart offers a feature called merging values that allows you to merge more than two values into one value, especially helpful when working with large sets of data. To merge values, select the values to be merged, and CloudCart will combine them into a single value. You can also assign an image to each property value, making it easier for users to search and filter your products.",67
Assigning Category Properties to Products,"Once you have created your category properties, you can assign them to specific products. Go to the product's page and select the product you want to assign properties to. Click the ""Category Specific Properties"" button and enter the property values. Once you're ready, submit the properties and publish the changes. You can then filter and search for products based on their properties.",62
Adding Category Properties Manually,"To add category properties manually, go to the ""Category Properties"" tab in your CloudCart store, click ""Add Property,"" and fill in the necessary details. Once you have added the property, you can add values to it by clicking on it.",40
Using Category Properties as Filters,"Once you have added your category properties and values to your products, you can use them as filters by going to ""Category Properties"" and selecting which properties to activate as filters.",31
Showing Specific Category Properties,"To show specific category properties on a product page, go to ""Widgets > Products"" in your store and select ""Show category properties here"" and ""Show category properties with images in sidebar."" Then, select an image for each value.",38
Choosing Category Properties,"After selecting a category, you can choose category properties. These are attributes of the category, and their values are attributes of a product. Category properties are predefined in the Category Properties menu.",32
Purpose of Category Properties,"Category properties display the main characteristics of a product. They cannot be changed or chosen by the customer, as they are constant facts about the product. These properties can be used for filtering products in the catalog and providing more information about the product. However, they cannot be chosen when purchasing a product. Consider the example of buying a TV. Attributes such as screen size, technology (LCD, OLED), and resolution (4K, 8K) are category properties. These specifications are fixed and cannot be chosen by the customer. They help users filter through the product catalog and narrow down their search to find the desired product.",104
Creating Category Properties,"To choose a category property, it must be created beforehand. To do this, navigate to the Category Property menu, create a new property (e.g., resolution), and specify its values. Once created, you can assign these properties and their values to products.",41
Multiple Values for a Property,"It is possible to select more than one value for a single property, although specific use cases may vary. This feature allows for flexibility in representing product attributes.",28
Methods of getting information out,"There are three major methods of getting information out of the store. The first one is by downloading a CSV file, which is a basic method for downloading orders, invoices or customers, but it cannot handle a large amount of product catalog data. The second method is through XML files, which is the most popular way of getting information out of the store. The third method is using the CloudCart API, which allows merchants to extract data programmatically by making requests.",81
Purpose of getting information out,"The purpose of getting information out of the store is to synchronize product catalogs with third-party applications, supply partners with relevant information regarding stock levels or pricing, and provide resellers with valuable information. XML feeds are useful for feeding Facebook or Google or any other third-party application with the product catalog of the store to make advertisements based on the behaviors of their merchants. There are a lot of possibilities and scenarios regarding why XML feeds are so important for the merchants.",82
CloudCart Product XML Feed Generator,"The CloudCart Product XML Feed Generator is a powerful tool for generating different product feeds with different types of information. To start, a merchant needs to create a new XML feed by giving it a name. The merchant can then filter down the products based on specific criteria, such as by category, brand, smart collection, or tax. Password protection is also available to secure information getting out from the hands of partners.",72
Configuring CloudCart Product XML Feed Generator,"The CloudCart Product XML Feed Generator has options for tracking purposes, such as for tracking the actions of customers that came from a partner website. The settings for turning off and on are for product quantities, product discount price, append hidden products, and append out of stock products. Once the merchant is happy with the settings, they can hit save, and a job is created to produce the XML file. The generation of the XML feed is incremental by 12 hours, and the content will be different if there are differences.",91
Purchasing Additional Products,"To purchase additional products, users can click on the ""Purchase"" button, which will redirect them to the pricing lists. From there, they can select the quantity of products they want for their XML files. It's important to note that any limitation applied to purchasing products will apply to all feeds, not just specific ones. So, if a user has five product feeds, all 45 product feeds will have a limitation on the number of products.",75
Product Feed Overview,"Once the product feed is ready, users can view it and see information such as the product name, address, category, and pricing. The price displayed may be discounted, as users can set up discounts for specific merchants. There will be no reference to quantities, only the stock availability. The XML feed generator is a powerful tool for dealing with product catalogs and sharing information with partners or resellers.",68
Unique XML Feed Generator,"CloudCart's XML feed generator is a unique feature that is not commonly found in the e-commerce world. Many services offer this feature as an additional service or application. However, CloudCart's XML feed generator is included out of the box and seamlessly integrates with users' stores.",45
Facebook Product Catalog,CloudCart's Facebook Dynamic Ads application creates a product XML feed used for building a product catalog directly into Facebook Business Manager. The purpose of creating the XML feed is to create and manage remarketing campaigns on Facebook. Merchants can read more about how to set up the product feed on CloudCart's Health Center.,53
Google Merchant Feed,Google Merchant Feed is used to drive Google Ads marketing campaigns with products. Merchants can use the product merchant feed to drive remarketing ads and display ads that are for getting brand new audiences. Merchants can read more about how to set up the product feed on CloudCart's Health Center.,50
Bulgarian Revenue Agency,"CloudCart has a specific application for the Bulgarian Revenue Agency, which generates an XML feed file based on the specification of the NRA. Merchants can use this application to supply the NRA with specific information regarding their orders.",38
Criteo,Criteo is one of the major players in the ad world and provides merchants with tools for driving their marketing campaigns through retail. Merchants can create Facebook and Google marketing ads and need a product feed for that purpose. The product feed is created based on Criteo's criteria and specifications. The product feed updates every 12 hours automatically.,58
HeyMark Product Feed,HeyMark is an application that creates a product feed for merchants on the HeyMark marketplace. Merchants can use this product feed to supply HeyMark with specific information regarding their products.,30
Comparing Applications,"Compartment E, Rok Arezzo, and Compari operate in Bulgaria, Hungary, and Romania. CloudCart creates an XML feed for each application based on their specific criteria and specifications. Merchants can copy and paste the URL of the product feed into each application's profile.",42
Scroutz.gr,Scroutz.gr is a Greek application used for price comparison. Merchants can copy and paste the product feed into Scroutz.gr's application profile.,21
Features,"The Google Sheets integration offers a lot of features for manipulating product information such as titles, descriptions, pricing, discounts, categories, vendors, product creation, images, and meta information. This powerful application enables you to manipulate the database across the entire store from one simple table.",44
Installation,"Once you pay and install the application, you will be forwarded to a page where you have to grant access to CloudCart to your specific Google Drive where your files will be stored. You will then work with your Google Spreadsheet.",41
Discount Option,"The Google Sheets integration has a discount option that automatically imports discounts on every single product. You simply need to select the discount you have already created. Products that are imported or updated from Google Sheets with the ""discount price"" field will create discounts in the store.",47
Filter Options,"There are three filter options in the integration. ""All products"" means all products will be imported into Google Sheets. ""Filter by category"" allows you to select a specific category to work with and the products only from that category or categories will be uploaded. ""Filter by products"" means that you can select specific products to upload into Google Sheets.",59
Selecting Columns,"You can specify which columns of the products you want to upload to Google Sheets. If you don't select any, the entire product catalog with all the columns will be uploaded. This is done because Google Sheets has a limitation of five million cells per document, which can be easily exceeded with a large product catalog.",56
Opening Google Sheets,"Once you click the button to open your spreadsheet, you will be redirected to the product table at Google Sheets. The table will have headings for columns such as product ID and product name, and under that, you will see all the products with their IDs and names.",48
Manipulating Data,"You can use formulas to manipulate the data and change product titles, quantities, pricing, and more. You can even have pictures and import products from Google Sheets. If you leave the ""Product ID"" field blank, a new product will be created for you with a brand new ID. However, be careful when working with Google Sheets, as you can easily mess up your entire store and product catalog.",68
Exporting Data,"You must spend as little time as possible between uploading and downloading the product catalog to avoid any discrepancies caused by new orders or other changes. It is also recommended to remove quantities if you are not going to work with them to avoid any issues. If you change the name of the columns, you can run into problems, so it's best to avoid changing them.",66
Restrictions,"One minor restriction is that you can only add simple products, not multiple variations. You can also only add products to a fixed discount or a simple discount. The integration allows you to use structure with special symbols to show that a category is a subcategory, but there is no reference to the categories themselves.",55
Pricing,"To sell a product, you need to set its price. In CloudCart's user interface, you will find several fields that are mandatory for dealing with products, one of which is the price. SKUs are another important field, as they are used for synchronization with other applications for product updates, such as pricing and quantities. SKUs can be identified using barcodes, product IDs, or other means.",65
Product Variation,"Product variation refers to the different versions of a product that are available, such as different colors or sizes. In CloudCart, variations are set up in a table format, with one row per product variation. In this way, merchants can have many variations of one product model, such as a sweater, in different colors and sizes. We will now explain how to set up product variations in CloudCart's user interface.",70
Product Variation Setup,"To set up product variations in CloudCart, you can use a radio button, drop-down menu, image sample, or color sample. Radio buttons are best for fewer variations, while drop-down menus are better for more. Image samples are best for presenting different product colors, and color samples are best for presenting different product sizes. You can choose the type of variation you want to use in the ""Variant Type"" dropdown menu. You can also add images, SKUs, barcodes, quantities, and pricing for each variation in the table.",86
Product Variation Presentation,"Product variations are presented differently depending on the variation type you choose. For example, radio buttons are best for presenting fewer variations, while drop-down menus are better for presenting more. Image samples are best for presenting different product colors, and color samples are best for presenting different product sizes. You can also use a banner or small image to present variations in a more artistic way, depending on the product. Keep in mind that the presentation of product variations should be easy to understand for the customer.",87
Creating Variations,"To create a product variant, you can combine different options together. For example, if you have two options for size and two options for color, the system will combine each size with each color to create a matrix of product variations. You can select up to three product variations and up to 150 values per variation.",56
Using Quick Filters,"Quick filters can be used to easily select all options for a product. To use this feature, select the options you want and then enter a price for all.",29
Limitations,CloudCart has limitations on the number of product variations you can create. You can have up to three product variations with up to 150 values per variation.,27
Presentation Styles,"CloudCart offers different presentation styles for product variations, including radio buttons, color swatches, and table views. The speaker recommends using the most commonly used presentation style, which is a combination of color and size options.",35
Numerical Options,"CloudCart also offers numerical options for products, which can be useful for representing size and other numerical values. These options are presented in two dimensions, with the first representing the numeric value and the second representing the alpha value.",39
Using Category Properties,"If you have a product with only one value for an option, it is recommended to present this as a category property rather than a product variant. Category properties can also be presented with images in the sidebar.",38
Translations,"If you want to change the name of a feature, you can do so by going to the Translations section in the settings and searching for the feature name.",29
Adding Product Options,"To add a new product option, go to the product options menu and click ""Add New."" You will see two fields for the name: one for internal use to orientate in the product options menu and the other will be visible in the storefront. Add a label for the product option and choose if it's required or not. Choose the option type (image, text field, checkbox, etc.) and set a price if necessary. In the ""Connection"" field, choose the product or category to apply this option to, and then save the changes.",92
Testing Product Options,"After adding the product options, go to the product page in the storefront to see how they appear. Make sure to test the options by selecting different choices and checking if the price changes accordingly. Ensure that required options prompt a warning if they are not filled out before adding the product to the cart.",55
Rearranging Product Options,"If needed, rearrange the order of the product options by going to the product options menu and dragging and dropping the options to the desired order. You can also rearrange the values and roles that you added on a specific product option.",42
Introduction to Product Options,"In this guide, we will present the ability to add product options in CloudCart. Product options are additional features or choices that can be added to a product details page. They can modify the price of a product or remain free. However, product options do not have SKUs, and their quantity is not tracked.",54
Example Scenario,"For instance, you might be selling gifts for kids and want to offer customers the option to add a gift wrap, a happy birthday card, or customize the product with a name. These options are not mandatory, but they can bring added value to the product and potentially increase the order value.",52
Adding a Product Option,"To add a product option, go to the product options menu, and click on ""Add New Product Option"". Fill in the name for internal use and the name for the storefront. Choose if the option is required, the option type (such as image, text, or checkbox), and if there's an additional value associated with the option. Finally, select the product or category to which the option will be applied, and save.",71
Example: Custom Image and Text,"In this example, we will add two product options to a keychain that can have a custom photo and text. The first option will allow customers to upload an image, and the second option will let them input custom text. Both options will be required and free.",47
Example: Gift Wrap Option,"The third product option will be a paid option for gift wrapping. This option will not be required, and customers can choose from different wrapping options with associated prices. This option can be added as an image selection with single selection enabled.",42
Testing and Adjusting Options,"After setting up the product options, test them in the storefront to ensure they work as expected. Make any necessary adjustments,",21
Application Stores: Local Pickup,"The local pickup application offers three main features: enabling a shipping method for local pickup, allowing local payment, and providing the ability to add quantity per product for each store. This is especially useful for merchants with multiple warehouse locations or physical stores in different cities or locations within a city.",51
Store Quantities and Geolocation,"By knowing the quantities for each location and their physical addresses, you can define locations at your online store and assign them to your physical locations. This allows customers to see only the products that are in stock for a specific store that offers delivery to their address, making it convenient for customers and helping merchants manage their inventory more efficiently.",61
Setting Up Stores and Quantities,"To begin, you'll need to add your stores within the application. Once your stores are added, you can then add the quantities of your products per store. You can do this in two ways: through XML synchronization or via CloudCart's API. Both methods allow you to easily import and synchronize your product quantities per store.",55
Shipping and Payment Options,"You can set up local pickup as a shipping method and select the stores that accept local pickup. Additionally, you can choose which payment provider will be used for local pickup, allowing customers to pay at the store if desired.",40
Local Pickup and Geolocation in Action,"By combining local pickup, product quantities per store, geolocation, and customized shipping and payment options, you can create a seamless experience for your customers, whether they prefer to shop online or in person. This is particularly beneficial for brick-and-mortar merchants and those in the grocery industry.",46
Identifying the Product Catalog Source,"The first step in managing your product catalog is to identify the source of your products. There are several concepts to consider, such as manually importing or uploading products, which has already been covered in previous videos. This guide focuses on managing your product catalog with external sources, where some automation and centralization are needed. You need to understand the entire chain of getting products from an external source and importing them into CloudCart.",74
Understanding the Structure of Data,"Next, you need to understand the structure of the information you are going to receive and import into the online store. This information should include product name or title, description, categories, information about the vendor or manufacturer, pricing, inventory levels, and any other relevant field options. This understanding will help you create a comprehensive and efficient process for importing product data into your online store.",65
Identifying Data Sources,"You must also identify how many data sources there are for your product catalog. Understanding whether there is a single source or multiple channels from which you will receive information about your products is crucial. If you are working with multiple data sources for a single product catalog, you need to decide which is the main source and how to handle the rest. This will help you to aggregate information from different sources and import it into your store effectively.",80
Managing Prices from Different Sources,"When dealing with different prices from different suppliers, you must decide which supplier offers the best price and whether you want to override the prices from different suppliers or vendors. This will ensure that you can sell your products at the best possible price while keeping track of inventory levels and supplier information.",53
Importing and Exporting Data,"CloudCart is a software with inputs and outputs, meaning that you can import and export data related to products, categories, or any other relational structures. This can be done on an event-driven basis or at specific times. It is important to note that importing orders is not currently possible in CloudCart due to the complexity and relationships involved in order data. However, understanding how to import and export data effectively is essential for managing your product catalog and ensuring that your online store operates smoothly.",85
Data Entry Methods,"There are several methods for importing data into CloudCart. For customers, you can use CSV imports or API. For products, there are many more ways, including using external data sources and automating the process. Understanding these different data entry methods will help you choose the most appropriate method for your specific needs and ensure that your product catalog is managed effectively.",61
CSV (Comma Separated Values),"CSV is a simple and basic data format, which is essentially a spreadsheet or table type of data saved by comma-separated values. This format is popular for transferring information and is commonly used with old-fashioned software like warehousing or ERP systems. CSV is suitable for one-time imports due to its basic structure, but it's essential to have unique identifiers for each product record to avoid issues with synchronizing data.",69
XML (eXtensible Markup Language),"XML is a more structured data format that uses tags and data, making it easier for software to read and import products. It is a standard and non-standard format, allowing flexibility in how data is organized. XML is ideal for continuous syncing of data and requires unique identifiers for each product record. We have a dedicated help article detailing the structure and import process into CloudCart.",66
API (Application Programming Interface),"CloudCart's API provides a more advanced way to communicate with the store and manipulate data. It enables programmers outside CloudCart to access and manage product data, categories, customers, orders, and more. The API is well-documented and available for paid plans only. Using the API allows greater flexibility and control over importing and syncing products.",54
Google Sheets,"Google Sheets is another method for importing products, offering a user-friendly spreadsheet interface for uploading and downloading products, manipulating data, and managing quantities and prices. CloudCart has a comprehensive help article related to Google Sheets, and the application is suitable for basic users.",43
Unique Identifiers,"It is crucial to define unique identifiers for each product record when importing and syncing data. These identifiers can be SKU, barcode, or external ID, but never the product name. Unique identifiers allow software to find, update, or import products accurately. Without them, you may end up with duplicate or incorrect product data.",53
European System Integrations and Dropshipping Models,"CloudCart supports more than ten European ERP integrations, offering built-in synchronization and import options for merchants using specific ERP systems. Dropshipping models, like Brands Distribution, allow merchants to import and sell products without storing them. XML files can also be used for dropshipping. Some integrations and models are specific to certain vendors and may vary in functionality.",57
CSV to XML Conversion,"CloudCart offers a service to convert CSV files to XML format, allowing merchants to import and sync data using the more structured XML format. This process involves taking the CSV file, converting it to XML, and then importing it back into CloudCart using applications like XML Import or XML Sink. This service can help standardize data output for merchants and automate processes.",62
Introduction to Selling Digital Products,"In the digital era, merchants are seeking solutions to sell their products, coaching materials, and online courses. CloudCart's infrastructure and platform accommodate different digital online stores and retailers.",28
Types of Digital Products,"There are two types of digital products: 1) Files, such as music, videos, eBooks, or any downloadable content; and 2) Resources, which provide membership access or restricted area access for customers who have paid for the content.",37
Store Setup for Digital Products,"When setting up an online store for digital products, consider if it will be oriented solely towards digital products or a mixture of digital and physical products. For example, a retailer selling computers may also sell digital licenses.",38
Cart and Checkout Settings,"Pay attention to cart and checkout settings. If your store focuses on digital products, disable the ""require shipping address on registration"" option. Turn off guest checkout and set your store for members only to grant customers access for later usage. Decide if you require a billing address for issuing invoices or not. Remember that requesting a billing address may slow down the purchasing process.",64
Adding Digital Products,"To add a digital product, follow the same steps as adding a physical product, but select ""Digital"" under product configuration. Choose the type of digital product (file or resource), and upload the file, if applicable. You cannot require shipping for digital products, but you can track inventory. However, you cannot have variations for digital products.",55
Checkout Process for Digital Products,"When checking out with digital products, the shipping address step is skipped, and customers are directed to the payment method selection. After completing the order, customers can download the product files or access the restricted content.",36
Security of Digital Files,CloudCart provides a secure environment for storing digital files. The platform encrypts the information about the product and stores it in hidden folders that are not directly accessible from the outside. Merchants can be assured that their digital files are protected from unauthorized downloads.,44
Upselling and Cross-selling with Digital Products,CloudCart also supports upselling and cross-selling options for digital products. Leverage these features to increase sales by offering additional products or services related to the customer's initial purchase. Watch the video tutorial on upselling and cross-selling for more information.,39
