title,description,url,
Testing Web Hooks,"Web hooks can be tested by editing orders or products and ensuring that the events are immediately fired and transferred to the third-party application. Web hooks can also be tested with services such as webhooks.site, which provide a destination URL for testing.",---
Real-Time Integration Example,"An example of real-time integration using web hooks is a service that provides tickets for public transport. As soon as the order is validated with the paid status, a QR code is generated, and the customer receives it instantly. This is a real-time integration between the store and the third-party application.",---
Conclusion,"CloudCart web hooks are a powerful and professional way to make a two-way real-time event integration between two or more applications. It provides valuable information in real-time, which can be used for inventory management, order management, or other integrations. More information can be found at help.cloudcart.com.",---
Product Statuses,"Go to the ""Products"" page and select ""Product Statuses"". By default, the platform has ""In Stock"" and ""Out of Stock"" statuses. To enable the subscription feature, you can either add an ""Out of Stock"" status and change its behavior or add a new status. We recommend using the default ""Out of Stock"" status and changing the action from ""Select new"" to ""Show as subscribed for quantity"". Change the name of the status to ""Notify me when available"" or any other desired name.",---
Subscribing to an Out of Stock Product,"Once the product status is set up, go to a product that is currently out of stock. The product page will display a ""Notify me when available"" button, which allows users to subscribe to the product.",---
Creating a Segment,"To collect all subscribers for out of stock products, go to ""Marketing Campaigns"" and select ""Segments"". Create a new segment using the ""Subscribed for product availability"" condition. This condition is simple and effective, but you can add additional conditions if desired.",---
Creating a Campaign,"Go to ""Marketing Campaigns"" and select ""Automated Campaigns"". Create a new campaign with a title and enable the ""Repeat this campaign for customers who got into it for more than once"" option. Select the previously created segment. Choose the appropriate action type and channel, such as Viber or web push notifications, and create the message template. The template can include variables, such as the triggered product, which will be based on the specific actions of your store and users. Add any desired additional steps, such as checking if the link was clicked, and specify the goal of the campaign. Once the campaign is started, it will automatically notify users when their subscribed product is back in stock.",---
Mandatory Things to Know,"This setup is irreversible, so you cannot undo your product catalog settings. The system will start a procedure which will split all variant values and create different products based on the variant value that you're going to split. For example, if you split by color, you will have different products based on each color variant. This option is payable.",---
Steps to Split Variants,"Go to the products main menu and then the variants menu. Select the option that will split all products that contain the variant option you want to split (in this case, color). Turn on the setting and name each product with its variant value. When you save, the system will start a procedure to split all products based on their color.",---
Viewing the Split Products,"After the procedure is complete, you will have different products based on each color variant. Each product will contain the name of the color value, and you can showcase all your colors on the listing pages. When a customer selects a color, the color will be automatically selected and reflected in the checkout page as a variant option.",---
Important Details,Product feeds and applications that generate product content like CSB or XML files will be affected by this feature. All product feeds will have to be regenerated. This feature is a great way to showcase all your products in a different way.,---
Functionality,"The Suppliers application allows merchants to have multiple suppliers for different products, each with their own prices and availability. The application allows for easy comparison of delivery prices and identification of the best supplier for a particular product.",---
Setting up Suppliers,"To add suppliers manually, go to the product section and click on the ""Suppliers"" link. Here, you can add as many suppliers as you wish and assign them to specific products. Alternatively, you can use the XML import application to automatically import products and assign them to suppliers.",---
Adding Suppliers to Products,"When adding suppliers manually, go to the product detail page and select the supplier from the dropdown menu. You can also assign a delivery price and an identification number for both your store and the supplier's store.",---
Tracking Inventory,"CloudCart can track product inventory at the supplier's store, and merchants can disable a specific supplier for a product if they are out of stock.",---
Order Products,Merchants can use the Order Products feature to filter by supplier and make bulk orders for all products under a specific supplier.,---
Benefits,"The Suppliers application allows for easy comparison of delivery prices, determination of the best supplier for a product, and automation of product catalog and pricing for different merchants.",---
Product Inventory Section,"The product inventory section allows you to manage your product inventory. You can use the filter option to search for a product by SKU, barcode, or product description. You can also filter products by category and quantity. Additionally, you can save filters and use them as tabs for quick searches and filter options.",---
Importance of Managing Inventory,"It is essential to manage your inventory to have a clear visibility of what's inside the warehouse, what's in stock in the online store, and what is out of stock in the product catalog. CloudCart focuses on delivering functionality that is really important when you are not working with warehouse software.",---
Product Listing Page,"The product listing page represents your product inventory. The difference between the inventory and the product section is that we split the product variants into products because each line here represents a product and its variations. For example, a product can have several variations between size and color, which we represent in a list of each product variation and each combination of that variation.",---
Managing Quantities,"To manage quantities, you can add or set a quantity for each product variation. Adding a quantity increases the number of products in stock, while setting a quantity replaces the existing quantity with the new number. You can also decrease or increase the quantity by a specific number.",---
Filters and Criteria,"You can use filters and criteria to manage your inventory. For example, you can select specific SKUs or filter products that are out of stock. This is helpful when you want to enable continuous selling for products that are out of stock because you know they will be restocked soon.",---
Using Categories,"Categories help you manage your inventory by organizing products by vendors, manufacturers, subcategories, etc. You can easily manage categories by adding new ones and subcategories, which makes it easier to find specific products.",---
Adding a Category,"To add a category, go to the side panel and provide data such as the name and description of the category. The URL address is generated automatically but can be edited. The system will check for duplicate names. A handy feature is the automatic 301 redirects if you change the URL slug when editing a record.",---
Category Description,You can add a description to your category using the text editor. You can also make the category a child of a parent category or add an image to the category.,---
Google Taxonomy,"Google taxonomy is a required field to define categories in product feeds. It will be used as the name of the category, no matter what name you choose for it. You can choose the taxonomy definition from a search bar.",---
Subcategories,You can add subcategories to a category in two ways: by adding a category and choosing the parent category or by dragging and dropping an existing category to the parent category. You can also merge two categories to make them parent and child.,---
Displaying Subcategories,"You can display subcategories in your storefront by enabling the function on your new category listing. If a category has no products, it will not appear on the storefront.",---
Category Properties,"You can access category properties from the category view. If you see warnings, it means the categories were not defined by the taxonomy, and you should define them to generate product feeds.",---
Improving SEO,Adding text and images to your categories is a great way to improve your SEO and get ahead of your competitors. Relevant keywords in the category description also help in search results.,---
Understanding Brands and Vendors,"Vendors and brands are filters that are useful for navigation through the products. Brands refer to the company or manufacturer of the product. In CloudCart, it is easy to upload the brand logo, brand description, and meta title and description.",---
Vendor Page,"Each brand has its own page, where all the products that are into that brand are listed. Once a brand has been created, you can click on the brand and you will be redirected to the page of the vendor.",---
Benefits of Having a Vendor Page,"Vendor pages are useful in increasing the visibility of the website into the search results of Google. For example, if someone searches for a particular brand, your website will be ranked higher in the search results due to the presence of the vendor page.",---
Brand Page,"The brand page is the place where you can read the text about the brand, some sort of information about the brand, and the logo.",---
Mandatory Brand for Products,"It is not mandatory to choose a brand for a product, and products can be displayed without anything under them.",---
Defining Smart Collections,"Smart collections are a way to combine different products based on specific criteria into a single page, without the need to manually select each individual product. This feature can save time and effort, especially when dealing with a large number of products.",---
Creating a Smart Collection,"To create a smart collection, start by giving it a title that represents the criteria you want to apply. You can also add SEO descriptions and titles from the same page. Next, select the criteria you want to use, such as specific products, categories, discounts, brands, or taxes. You can also use operators such as ""not in"" to exclude products from certain categories.",---
Tagging Products,"You can also use tagging to create a smart collection. For example, you can tag products that are meant to be included in a specific collection with a unique tag, and then create a smart collection that includes all products with that tag. This is particularly useful when dealing with large numbers of products.",---
Using Smart Collections,"Smart collections can be used in various ways, such as creating discounts, showcasing products, generating feeds for selected parties, and more. They can also be used to build landing pages that feature a specific collection of products. When used smartly, smart collections can save time and effort and provide a seamless shopping experience for your customers.",---
Conclusion,"Smart collections are a powerful feature unique to CloudCart that allows you to combine different products based on specific criteria into a single page. By understanding the functionality of smart collections, you can use them to save time and effort and provide a better shopping experience for your customers.",---
Getting Started with Product Bundles,"To use product bundles, you need to install the Product Bundles application from the All Applications menu in your store's Ups menu. Once installed, you can find it in the Products menu under Bundles. Initially, you won't have any bundles, but you can start creating them from here.",---
Bundle Setup,"Setting up a bundle is a manual process, and you need to tell the system how to combine the products and how to present them. From the Advanced Settings menu, you can set the bundle's title, upload an image, and write a description. You can also choose which products to include in the bundle and set the bundle's price.",---
Bundle Configuration,"Once you've selected your products and set the bundle price, you can configure how the bundle appears on your storefront. You can change the page title and description for the bundle, set validation dates, and even show a timer to encourage customers to buy before the bundle expires. You can also choose how the bundle appears on your storefront, such as a list of products or a product listing in the landing page.",---
Advanced Settings,"In the Advanced Settings menu, you can make further customizations to the bundle. For example, you can change the quantity of a product in the bundle or change the order of the products. You can also check CloudCart's Health Center for more information on bundle functionalities.",---
Conclusion,"Product bundles are a great way to increase your store's average order value, and CloudCart offers a variety of options for setting them up and customizing their appearance. If you have any questions or want to practice your knowledge, you can always reach out to CloudCart's support team.",---
Introduction,"how to add properties to your products in order to make them more searchable, filterable, and organized. Properties are features that can describe a product in a convenient way, allowing users to filter and search based on specific criteria.",---
Category Properties,"Category properties are features assigned to specific categories and can be reused for different products. CloudCart offers three methods to import category properties into your store: manual entry, XML import, and CloudCart APIs. Manual entry is the slowest method, while XML import and CloudCart APIs are much faster.",---
Adding Category Properties,"To add category properties manually, go to the products main page and select category properties. You can add a new property here, give it a name, type, and assign it to specific categories. You can also assign values for that property. Once you're ready, save the property and it will be recorded in the system. You can add as many category properties as you wish.",---
Merging Values,"CloudCart offers a feature called merging values that allows you to merge more than two values into one value, especially helpful when working with large sets of data. To merge values, select the values to be merged, and CloudCart will combine them into a single value. You can also assign an image to each property value, making it easier for users to search and filter your products.",---
Assigning Category Properties to Products,"Once you have created your category properties, you can assign them to specific products. Go to the product's page and select the product you want to assign properties to. Click the ""Category Specific Properties"" button and enter the property values. Once you're ready, submit the properties and publish the changes. You can then filter and search for products based on their properties.",---
Adding Category Properties Manually,"To add category properties manually, go to the ""Category Properties"" tab in your CloudCart store, click ""Add Property,"" and fill in the necessary details. Once you have added the property, you can add values to it by clicking on it.",---
Using Category Properties as Filters,"Once you have added your category properties and values to your products, you can use them as filters by going to ""Category Properties"" and selecting which properties to activate as filters.",---
Showing Specific Category Properties,"To show specific category properties on a product page, go to ""Widgets > Products"" in your store and select ""Show category properties here"" and ""Show category properties with images in sidebar."" Then, select an image for each value.",---
Choosing Category Properties,"After selecting a category, you can choose category properties. These are attributes of the category, and their values are attributes of a product. Category properties are predefined in the Category Properties menu.",---
Purpose of Category Properties,"Category properties display the main characteristics of a product. They cannot be changed or chosen by the customer, as they are constant facts about the product. These properties can be used for filtering products in the catalog and providing more information about the product. However, they cannot be chosen when purchasing a product. Consider the example of buying a TV. Attributes such as screen size, technology (LCD, OLED), and resolution (4K, 8K) are category properties. These specifications are fixed and cannot be chosen by the customer. They help users filter through the product catalog and narrow down their search to find the desired product.",---
Creating Category Properties,"To choose a category property, it must be created beforehand. To do this, navigate to the Category Property menu, create a new property (e.g., resolution), and specify its values. Once created, you can assign these properties and their values to products.",---
Multiple Values for a Property,"It is possible to select more than one value for a single property, although specific use cases may vary. This feature allows for flexibility in representing product attributes.",---
Methods of getting information out,"There are three major methods of getting information out of the store. The first one is by downloading a CSV file, which is a basic method for downloading orders, invoices or customers, but it cannot handle a large amount of product catalog data. The second method is through XML files, which is the most popular way of getting information out of the store. The third method is using the CloudCart API, which allows merchants to extract data programmatically by making requests.",---
Purpose of getting information out,"The purpose of getting information out of the store is to synchronize product catalogs with third-party applications, supply partners with relevant information regarding stock levels or pricing, and provide resellers with valuable information. XML feeds are useful for feeding Facebook or Google or any other third-party application with the product catalog of the store to make advertisements based on the behaviors of their merchants. There are a lot of possibilities and scenarios regarding why XML feeds are so important for the merchants.",---
CloudCart Product XML Feed Generator,"The CloudCart Product XML Feed Generator is a powerful tool for generating different product feeds with different types of information. To start, a merchant needs to create a new XML feed by giving it a name. The merchant can then filter down the products based on specific criteria, such as by category, brand, smart collection, or tax. Password protection is also available to secure information getting out from the hands of partners.",---
Configuring CloudCart Product XML Feed Generator,"The CloudCart Product XML Feed Generator has options for tracking purposes, such as for tracking the actions of customers that came from a partner website. The settings for turning off and on are for product quantities, product discount price, append hidden products, and append out of stock products. Once the merchant is happy with the settings, they can hit save, and a job is created to produce the XML file. The generation of the XML feed is incremental by 12 hours, and the content will be different if there are differences.",---
Purchasing Additional Products,"To purchase additional products, users can click on the ""Purchase"" button, which will redirect them to the pricing lists. From there, they can select the quantity of products they want for their XML files. It's important to note that any limitation applied to purchasing products will apply to all feeds, not just specific ones. So, if a user has five product feeds, all 45 product feeds will have a limitation on the number of products.",---
Product Feed Overview,"Once the product feed is ready, users can view it and see information such as the product name, address, category, and pricing. The price displayed may be discounted, as users can set up discounts for specific merchants. There will be no reference to quantities, only the stock availability. The XML feed generator is a powerful tool for dealing with product catalogs and sharing information with partners or resellers.",---
Unique XML Feed Generator,"CloudCart's XML feed generator is a unique feature that is not commonly found in the e-commerce world. Many services offer this feature as an additional service or application. However, CloudCart's XML feed generator is included out of the box and seamlessly integrates with users' stores.",---
Facebook Product Catalog,CloudCart's Facebook Dynamic Ads application creates a product XML feed used for building a product catalog directly into Facebook Business Manager. The purpose of creating the XML feed is to create and manage remarketing campaigns on Facebook. Merchants can read more about how to set up the product feed on CloudCart's Health Center.,---
Google Merchant Feed,Google Merchant Feed is used to drive Google Ads marketing campaigns with products. Merchants can use the product merchant feed to drive remarketing ads and display ads that are for getting brand new audiences. Merchants can read more about how to set up the product feed on CloudCart's Health Center.,---
Bulgarian Revenue Agency,"CloudCart has a specific application for the Bulgarian Revenue Agency, which generates an XML feed file based on the specification of the NRA. Merchants can use this application to supply the NRA with specific information regarding their orders.",---
Criteo,Criteo is one of the major players in the ad world and provides merchants with tools for driving their marketing campaigns through retail. Merchants can create Facebook and Google marketing ads and need a product feed for that purpose. The product feed is created based on Criteo's criteria and specifications. The product feed updates every 12 hours automatically.,---
HeyMark Product Feed,HeyMark is an application that creates a product feed for merchants on the HeyMark marketplace. Merchants can use this product feed to supply HeyMark with specific information regarding their products.,---
Comparing Applications,"Compartment E, Rok Arezzo, and Compari operate in Bulgaria, Hungary, and Romania. CloudCart creates an XML feed for each application based on their specific criteria and specifications. Merchants can copy and paste the URL of the product feed into each application's profile.",---
Scroutz.gr,Scroutz.gr is a Greek application used for price comparison. Merchants can copy and paste the product feed into Scroutz.gr's application profile.,---
Features,"The Google Sheets integration offers a lot of features for manipulating product information such as titles, descriptions, pricing, discounts, categories, vendors, product creation, images, and meta information. This powerful application enables you to manipulate the database across the entire store from one simple table.",---
Installation,"Once you pay and install the application, you will be forwarded to a page where you have to grant access to CloudCart to your specific Google Drive where your files will be stored. You will then work with your Google Spreadsheet.",---
Discount Option,"The Google Sheets integration has a discount option that automatically imports discounts on every single product. You simply need to select the discount you have already created. Products that are imported or updated from Google Sheets with the ""discount price"" field will create discounts in the store.",---
Filter Options,"There are three filter options in the integration. ""All products"" means all products will be imported into Google Sheets. ""Filter by category"" allows you to select a specific category to work with and the products only from that category or categories will be uploaded. ""Filter by products"" means that you can select specific products to upload into Google Sheets.",---
Selecting Columns,"You can specify which columns of the products you want to upload to Google Sheets. If you don't select any, the entire product catalog with all the columns will be uploaded. This is done because Google Sheets has a limitation of five million cells per document, which can be easily exceeded with a large product catalog.",---
Opening Google Sheets,"Once you click the button to open your spreadsheet, you will be redirected to the product table at Google Sheets. The table will have headings for columns such as product ID and product name, and under that, you will see all the products with their IDs and names.",---
Manipulating Data,"You can use formulas to manipulate the data and change product titles, quantities, pricing, and more. You can even have pictures and import products from Google Sheets. If you leave the ""Product ID"" field blank, a new product will be created for you with a brand new ID. However, be careful when working with Google Sheets, as you can easily mess up your entire store and product catalog.",---
Exporting Data,"You must spend as little time as possible between uploading and downloading the product catalog to avoid any discrepancies caused by new orders or other changes. It is also recommended to remove quantities if you are not going to work with them to avoid any issues. If you change the name of the columns, you can run into problems, so it's best to avoid changing them.",---
Restrictions,"One minor restriction is that you can only add simple products, not multiple variations. You can also only add products to a fixed discount or a simple discount. The integration allows you to use structure with special symbols to show that a category is a subcategory, but there is no reference to the categories themselves.",---
Pricing,"To sell a product, you need to set its price. In CloudCart's user interface, you will find several fields that are mandatory for dealing with products, one of which is the price. SKUs are another important field, as they are used for synchronization with other applications for product updates, such as pricing and quantities. SKUs can be identified using barcodes, product IDs, or other means.",---
Product Variation,"Product variation refers to the different versions of a product that are available, such as different colors or sizes. In CloudCart, variations are set up in a table format, with one row per product variation. In this way, merchants can have many variations of one product model, such as a sweater, in different colors and sizes. We will now explain how to set up product variations in CloudCart's user interface.",---
Product Variation Setup,"To set up product variations in CloudCart, you can use a radio button, drop-down menu, image sample, or color sample. Radio buttons are best for fewer variations, while drop-down menus are better for more. Image samples are best for presenting different product colors, and color samples are best for presenting different product sizes. You can choose the type of variation you want to use in the ""Variant Type"" dropdown menu. You can also add images, SKUs, barcodes, quantities, and pricing for each variation in the table.",---
Product Variation Presentation,"Product variations are presented differently depending on the variation type you choose. For example, radio buttons are best for presenting fewer variations, while drop-down menus are better for presenting more. Image samples are best for presenting different product colors, and color samples are best for presenting different product sizes. You can also use a banner or small image to present variations in a more artistic way, depending on the product. Keep in mind that the presentation of product variations should be easy to understand for the customer.",---
Creating Variations,"To create a product variant, you can combine different options together. For example, if you have two options for size and two options for color, the system will combine each size with each color to create a matrix of product variations. You can select up to three product variations and up to 150 values per variation.",---
Using Quick Filters,"Quick filters can be used to easily select all options for a product. To use this feature, select the options you want and then enter a price for all.",---
Limitations,CloudCart has limitations on the number of product variations you can create. You can have up to three product variations with up to 150 values per variation.,---
Presentation Styles,"CloudCart offers different presentation styles for product variations, including radio buttons, color swatches, and table views. The speaker recommends using the most commonly used presentation style, which is a combination of color and size options.",---
Numerical Options,"CloudCart also offers numerical options for products, which can be useful for representing size and other numerical values. These options are presented in two dimensions, with the first representing the numeric value and the second representing the alpha value.",---
Using Category Properties,"If you have a product with only one value for an option, it is recommended to present this as a category property rather than a product variant. Category properties can also be presented with images in the sidebar.",---
Translations,"If you want to change the name of a feature, you can do so by going to the Translations section in the settings and searching for the feature name.",---
Adding Product Options,"To add a new product option, go to the product options menu and click ""Add New."" You will see two fields for the name: one for internal use to orientate in the product options menu and the other will be visible in the storefront. Add a label for the product option and choose if it's required or not. Choose the option type (image, text field, checkbox, etc.) and set a price if necessary. In the ""Connection"" field, choose the product or category to apply this option to, and then save the changes.",---
Testing Product Options,"After adding the product options, go to the product page in the storefront to see how they appear. Make sure to test the options by selecting different choices and checking if the price changes accordingly. Ensure that required options prompt a warning if they are not filled out before adding the product to the cart.",---
Rearranging Product Options,"If needed, rearrange the order of the product options by going to the product options menu and dragging and dropping the options to the desired order. You can also rearrange the values and roles that you added on a specific product option.",---
Introduction to Product Options,"In this guide, we will present the ability to add product options in CloudCart. Product options are additional features or choices that can be added to a product details page. They can modify the price of a product or remain free. However, product options do not have SKUs, and their quantity is not tracked.",---
Example Scenario,"For instance, you might be selling gifts for kids and want to offer customers the option to add a gift wrap, a happy birthday card, or customize the product with a name. These options are not mandatory, but they can bring added value to the product and potentially increase the order value.",---
Adding a Product Option,"To add a product option, go to the product options menu, and click on ""Add New Product Option"". Fill in the name for internal use and the name for the storefront. Choose if the option is required, the option type (such as image, text, or checkbox), and if there's an additional value associated with the option. Finally, select the product or category to which the option will be applied, and save.",---
Example: Custom Image and Text,"In this example, we will add two product options to a keychain that can have a custom photo and text. The first option will allow customers to upload an image, and the second option will let them input custom text. Both options will be required and free.",---
Example: Gift Wrap Option,"The third product option will be a paid option for gift wrapping. This option will not be required, and customers can choose from different wrapping options with associated prices. This option can be added as an image selection with single selection enabled.",---
Testing and Adjusting Options,"After setting up the product options, test them in the storefront to ensure they work as expected. Make any necessary adjustments,",---
Application Stores: Local Pickup,"The local pickup application offers three main features: enabling a shipping method for local pickup, allowing local payment, and providing the ability to add quantity per product for each store. This is especially useful for merchants with multiple warehouse locations or physical stores in different cities or locations within a city.",---
Store Quantities and Geolocation,"By knowing the quantities for each location and their physical addresses, you can define locations at your online store and assign them to your physical locations. This allows customers to see only the products that are in stock for a specific store that offers delivery to their address, making it convenient for customers and helping merchants manage their inventory more efficiently.",---
Setting Up Stores and Quantities,"To begin, you'll need to add your stores within the application. Once your stores are added, you can then add the quantities of your products per store. You can do this in two ways: through XML synchronization or via CloudCart's API. Both methods allow you to easily import and synchronize your product quantities per store.",---
Shipping and Payment Options,"You can set up local pickup as a shipping method and select the stores that accept local pickup. Additionally, you can choose which payment provider will be used for local pickup, allowing customers to pay at the store if desired.",---
Local Pickup and Geolocation in Action,"By combining local pickup, product quantities per store, geolocation, and customized shipping and payment options, you can create a seamless experience for your customers, whether they prefer to shop online or in person. This is particularly beneficial for brick-and-mortar merchants and those in the grocery industry.",---
Identifying the Product Catalog Source,"The first step in managing your product catalog is to identify the source of your products. There are several concepts to consider, such as manually importing or uploading products, which has already been covered in previous videos. This guide focuses on managing your product catalog with external sources, where some automation and centralization are needed. You need to understand the entire chain of getting products from an external source and importing them into CloudCart.",---
Understanding the Structure of Data,"Next, you need to understand the structure of the information you are going to receive and import into the online store. This information should include product name or title, description, categories, information about the vendor or manufacturer, pricing, inventory levels, and any other relevant field options. This understanding will help you create a comprehensive and efficient process for importing product data into your online store.",---
Identifying Data Sources,"You must also identify how many data sources there are for your product catalog. Understanding whether there is a single source or multiple channels from which you will receive information about your products is crucial. If you are working with multiple data sources for a single product catalog, you need to decide which is the main source and how to handle the rest. This will help you to aggregate information from different sources and import it into your store effectively.",---
Managing Prices from Different Sources,"When dealing with different prices from different suppliers, you must decide which supplier offers the best price and whether you want to override the prices from different suppliers or vendors. This will ensure that you can sell your products at the best possible price while keeping track of inventory levels and supplier information.",---
Importing and Exporting Data,"CloudCart is a software with inputs and outputs, meaning that you can import and export data related to products, categories, or any other relational structures. This can be done on an event-driven basis or at specific times. It is important to note that importing orders is not currently possible in CloudCart due to the complexity and relationships involved in order data. However, understanding how to import and export data effectively is essential for managing your product catalog and ensuring that your online store operates smoothly.",---
Data Entry Methods,"There are several methods for importing data into CloudCart. For customers, you can use CSV imports or API. For products, there are many more ways, including using external data sources and automating the process. Understanding these different data entry methods will help you choose the most appropriate method for your specific needs and ensure that your product catalog is managed effectively.",---
CSV (Comma Separated Values),"CSV is a simple and basic data format, which is essentially a spreadsheet or table type of data saved by comma-separated values. This format is popular for transferring information and is commonly used with old-fashioned software like warehousing or ERP systems. CSV is suitable for one-time imports due to its basic structure, but it's essential to have unique identifiers for each product record to avoid issues with synchronizing data.",---
XML (eXtensible Markup Language),"XML is a more structured data format that uses tags and data, making it easier for software to read and import products. It is a standard and non-standard format, allowing flexibility in how data is organized. XML is ideal for continuous syncing of data and requires unique identifiers for each product record. We have a dedicated help article detailing the structure and import process into CloudCart.",---
API (Application Programming Interface),"CloudCart's API provides a more advanced way to communicate with the store and manipulate data. It enables programmers outside CloudCart to access and manage product data, categories, customers, orders, and more. The API is well-documented and available for paid plans only. Using the API allows greater flexibility and control over importing and syncing products.",---
